Addition table:

      000  100  200  010  110  210  020  120  220  001  101  201  011  111  211  021  121  221  002  102  202  012  112  212  022  122  222 
     ---------------------------------------------------------------------------------------------------------------------------------------
021 | 000  021  012  102  120  111  201  222  210  210  201  222  012  000  021  111  102  120  120  111  102  222  210  201  021  012  000 
    |
121 | 000  121  212  112  200  021  221  012  100  211  002  120  020  111  202  102  220  011  122  210  001  201  022  110  010  101  222 
    |
221 | 000  221  112  122  010  201  211  102  020  212  100  021  001  222  110  120  011  202  121  012  200  210  101  022  002  220  111 
    |
002 | 000  002  001  200  202  201  100  102  101  020  022  021  220  222  221  120  122  121  010  012  011  210  212  211  110  112  111 
    |
102 | 000  102  201  210  012  111  120  222  021  021  120  222  201  000  102  111  210  012  012  111  210  222  021  120  102  201  000 
    |
202 | 000  202  101  220  122  021  110  012  211  022  221  120  212  111  010  102  001  200  011  210  112  201  100  002  121  020  222 
    |
012 | 000  012  021  201  210  222  102  111  120  120  102  111  021  000  012  222  201  210  210  222  201  111  120  102  012  021  000 
    |
112 | 000  112  221  211  020  102  122  201  010  121  200  012  002  111  220  210  022  101  212  021  100  120  202  011  001  110  222 
    |
212 | 000  212  121  221  100  012  112  021  200  122  001  210  010  222  101  201  110  022  211  120  002  102  011  220  020  202  111 
    |
022 | 000  022  011  202  221  210  101  120  112  220  212  201  122  111  100  021  010  002  110  102  121  012  001  020  211  200  222 
    |
122 | 000  122  211  212  001  120  121  210  002  221  010  102  100  222  011  012  101  220  112  201  020  021  110  202  200  022  111 
    |
222 | 000  222  111  222  111  000  111  000  222  222  111  000  111  000  222  000  222  111  111  000  222  000  222  111  222  111  000 
    |
